dataset_id,sample_id,condition_id,request_id,status,generation_attempted,fidelity_availability,fidelity_reason,candidate_explanation_fidelity
ULB,FOLLOWUP_ULB_010,B_dense,a18fb12d-c0cd-4054-b1b9-f7b4d7dbfcf8,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_002,C_lexical,a479a99b-783b-4cef-ac70-8e4a9d44fb1d,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_008,C_lexical,a630bd1b-bc75-4e9b-8af7-61fbf0cfc860,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_010,C_lexical,a7c73041-9267-4c9a-b86e-3912fa062627,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_007,B_dense,b9db20c2-669c-488e-aff3-de238d6b55ed,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_002,B_lexical,bf0404a0-5a2e-4b71-a090-9b3d02273f39,completed,True,available,available,1.0
ULB,FOLLOWUP_ULB_002,A_direct,c504b2ab-f876-48e0-bda5-57d30b9925cc,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_004,C_dense,c6a46a70-a53c-4a6f-8e58-b506bccb34da,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_001,D_hybrid,cdb16a39-04f3-4337-b89d-509326acfe3d,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_010,B_lexical,cea10ed0-919e-49ba-a707-40f9b5a080ef,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_001,C_dense,d08e114c-0b28-4be1-854a-899e5a94e648,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_008,A_direct,d22cb7e4-d5b6-49ab-868d-0ba6b9e91add,completed,True,available,available,1.0
ULB,FOLLOWUP_ULB_007,C_dense,dc3254cc-344b-4922-8805-b26e025c9858,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_004,B_lexical,dd8a82ed-a7bd-4e47-99a3-4e423be44087,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_002,B_dense,e7b6439f-cf18-4689-9217-6ca57cf5a91a,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_009,B_lexical,ed2c34f7-a5ea-44e9-a5d5-71c98f979bb8,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_009,C_lexical,ee9a8593-0a5e-4e11-8dd3-c300f2d4a1b0,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_007,B_lexical,ef7de2e6-8b6c-45fe-b831-4d42895ea243,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_006,B_lexical,efab01a6-b1b5-47bb-a96e-f27745cdeb16,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_009,D_hybrid,f1ecd789-aef1-4ef0-9818-a53f44ad41b6,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_005,D_hybrid,f3636350-0cfe-43e3-98e9-39d88cfd37d3,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_012,B_dense,0c61e75f-572a-4c62-8f0a-a4f824a9f44c,completed,True,available,available,1.0
ULB,FOLLOWUP_ULB_011,B_dense,148453e7-9df8-4435-a69b-ccd166cac705,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_012,D_hybrid,19bc4356-ded3-4e33-843b-22f7dfdbcff0,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_020,C_lexical,20c66f21-b924-4e78-bc7b-b75784cb51ae,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_011,B_lexical,20dbf3cd-e998-437c-aa15-9aabc196d7db,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_017,A_direct,282510b6-a846-406d-8172-bf17f5d22230,completed,True,available,available,1.0
ULB,FOLLOWUP_ULB_012,B_lexical,29d77e2f-4956-4d2e-b048-3547aef3dd09,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_014,C_lexical,2ae89f51-d3ef-4dbd-b61e-dc6579a8a2dc,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_018,B_dense,30f30ffd-c592-4588-a652-ea26ba56f999,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_019,A_direct,3a397a6c-41ce-4311-bf90-2a6bd13f2e08,completed,True,available,available,1.0
ULB,FOLLOWUP_ULB_014,C_dense,41e238b7-cfc5-43bc-bd7f-3460b0a25dc4,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_019,C_lexical,4744070c-55b0-43eb-a51a-ac336bf60ebc,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_014,B_lexical,5de4562c-4be2-420a-b7bf-ff3c97ee6dc9,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_020,B_dense,610a85f1-45c9-46c1-ad9e-10adeea8ac40,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_015,D_hybrid,638aeb59-2aec-4d66-99cf-816b955c2e04,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_016,B_dense,67dbb88b-8339-4b99-af76-62cd0e4c6a65,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_011,C_dense,681fb58a-b325-43e4-b514-9ea3557e045f,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_020,D_hybrid,6bc13f08-f1bf-4017-9515-167446ad024f,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_017,D_hybrid,6f050cc7-9f9a-4723-8aeb-d1873e0847ab,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_015,A_direct,74689a93-d3fd-47ee-aafa-7fb4bb539362,completed,True,available,available,1.0
ULB,FOLLOWUP_ULB_016,C_lexical,7823d349-85a5-4999-9282-e9c2a0d33cb3,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_018,C_lexical,7d722bd5-705a-4dde-be8c-43b3a59b9315,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_016,A_direct,7f2afd0f-046e-425b-9068-645f84a0e022,completed,True,available,available,1.0
ULB,FOLLOWUP_ULB_017,C_lexical,7fefa880-46d9-4a58-b7e5-4c32b817dfec,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_019,B_dense,8af6d929-7f1c-41bc-a0b5-74a7d76d29d0,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_013,B_dense,8b1a7e69-7bcb-4222-8dd3-977d3afd12af,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_014,D_hybrid,8ea3d6fc-ef84-40b7-ac39-1765d52b01e7,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_016,C_dense,92177ce2-c70e-44f1-93c1-5f8c64655155,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_020,C_dense,96cef982-f827-4216-9246-ea1e893d29bc,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_013,A_direct,973f9c15-a574-404a-8a86-4e5da3b9fa29,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_018,B_lexical,98742ffb-19c7-45db-bc81-0680589ab33f,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_011,A_direct,9b2917e8-528b-4917-a33f-4aaf6d625e10,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_018,A_direct,a1f07f21-29b3-424c-981e-7527e9fb033b,completed,True,available,available,1.0
ULB,FOLLOWUP_ULB_018,C_dense,a774c770-f8aa-47b5-953f-a34980dcba19,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_020,B_lexical,aba48294-e7e9-4534-b103-b991861d2287,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_014,A_direct,add42743-7580-4326-8ee0-f06832ebe610,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_016,D_hybrid,af3f697e-84db-44f7-a846-bc6034851502,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_015,B_lexical,b8169764-fb78-46ad-9e44-cf1907bc75a2,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_019,B_lexical,c2ec4a04-7d60-4c99-a5e0-7597dd9e2f22,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_012,C_dense,c4e2e45f-10b7-4608-a9fb-1ce5dc902550,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_013,C_dense,c80751f5-c7d8-4402-abdf-307d23c0c46b,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_013,B_lexical,c8e4152b-6632-439a-8250-18a0ff72eeaa,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_011,D_hybrid,c8fa2830-d570-4850-9a5e-bd4638f1105b,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_012,A_direct,cf3a4c21-fd87-49e0-9856-e36401e99490,completed,True,available,available,1.0
ULB,FOLLOWUP_ULB_013,D_hybrid,d03a0a86-dd4c-4606-a717-fe6a428a2a4d,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_011,C_lexical,d1f06d3e-fd9f-492a-99c1-7a4f9e89a00d,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_017,B_dense,d29b4186-e478-4546-afbe-3e625a6b679f,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_015,B_dense,d3172718-7fa7-47fd-ae4a-29b6ccba85db,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_013,C_lexical,d407e962-3cc3-4b9d-9da3-a2d558d331bb,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_016,B_lexical,d5fb0228-fd95-424b-b39c-207de49861d5,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_017,C_dense,d9569d23-30d6-4310-8d58-2bb9f01ed09d,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_012,C_lexical,dd0f8d0e-bb66-4655-86b8-b74d7f2479f5,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_017,B_lexical,ddaa2d1c-7dd3-41e5-8cff-fa8fb22b8813,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_019,D_hybrid,e3e6204f-5a4e-456f-b81d-4c2d6f89e644,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_018,D_hybrid,eb5c6864-7e2d-4c4f-ac68-84a2549db311,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_015,C_lexical,eca2d0be-6c37-49ad-bb05-4adbe6be5e39,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_015,C_dense,ee4b90cc-ac8f-46ae-b89d-74541d083389,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_014,B_dense,f4f83375-d0be-420d-b816-a42a4f2d1d52,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_020,A_direct,fab0ef22-e4aa-41d1-b322-f8a6c6ab7451,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_019,C_dense,fd3f36bf-336c-4390-9f3a-f65e2c79ea5f,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_023,B_dense,008d14f3-2a32-4695-9db1-22f400070455,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_029,B_dense,02b47cf9-1a31-4c9a-bf17-376c4e9f3f48,completed,True,available,available,0.0
ULB,FOLLOWUP_ULB_026,C_lexical,074de36e-3779-4734-9d20-3790cfb1ecf7,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_028,C_dense,0d76423d-1ab9-41f7-a3f5-b46f1bb0743a,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_024,C_lexical,0e10342f-dca9-4c08-818c-968d0ed2fea9,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_029,C_dense,1f4a11b5-fa9f-4f18-8f5f-d9ea932f53f1,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_029,D_hybrid,231aad9c-ec68-4887-ba6b-7a53e2037bd5,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_027,D_hybrid,33761994-e55f-4719-8704-4eefe3792f3b,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_024,C_dense,36c09ec6-f0c9-4f73-8700-de5753f83ab0,suppressed,False,unavailable,not_generated,
ULB,FOLLOWUP_ULB_025,B_dense,36e442a8-6327-463c-9d21-12c7d669cff1,completed,True,available,available,0.947368
ULB,FOLLOWUP_ULB_022,A_direct,387f36d1-a313-499f-bdd2-a73062d9d607,completed,True,unavailable,candidate_invalid_json,
ULB,FOLLOWUP_ULB_028,B_lexical,38ebb3ac-6333-4810-bce1-5df0a94f73d4,completed,True,available,available,0.0
