dataset_id,sample_id,condition_id,request_id,status,disposition,generation_attempted,processing_latency_ms,generation_latency_ms,retrieval_latency_ms,validation_latency_ms,cpu_time_ms,memory_rss_delta_bytes
ULB,FOLLOWUP_ULB_131,B_dense,3e9fcd77-40e8-4b83-add0-e3a23b0bf046,completed,generated_released,True,13720.635,13710.873,5.191,0.011,1657.937,704512.0
ULB,FOLLOWUP_ULB_133,B_dense,46587027-453f-4fc7-8b2f-5ef90a0d43ae,completed,generated_released,True,12987.436,12975.93,5.576,0.015,1587.05,49152.0
ULB,FOLLOWUP_ULB_131,A_direct,4669a7a6-6229-4038-976f-a4f46437a0c9,completed,generated_released,True,7793.977,7789.502,0.0,0.021,1282.178,851968.0
ULB,FOLLOWUP_ULB_139,D_hybrid,4d139d43-10bb-4a22-8aea-1efdab803cb2,blocked,generated_blocked,True,10955.061,10726.563,152.305,0.039,1537.149,22708224.0
ULB,FOLLOWUP_ULB_136,C_dense,524bc305-2768-415a-bf81-3ae493d58e11,blocked,generated_blocked,True,10587.563,10577.294,5.629,0.033,1578.214,-2097152.0
ULB,FOLLOWUP_ULB_135,C_lexical,5332d287-cfe3-4a80-b881-9cc9a0892531,blocked,generated_blocked,True,13124.573,13109.881,9.985,0.038,1568.185,753664.0
ULB,FOLLOWUP_ULB_137,C_dense,591f94a5-7be3-4c72-82c8-dbb0b89fc64b,blocked,generated_blocked,True,11228.672,11218.599,4.845,0.045,1763.847,-2179072.0
ULB,FOLLOWUP_ULB_140,B_dense,5a125e84-5b63-4934-b9be-37bb48c461f3,completed,generated_released,True,17231.678,17220.463,5.736,0.015,2237.864,753664.0
ULB,FOLLOWUP_ULB_139,A_direct,5aeffe7c-2db4-4ad8-937a-f00033fe68d0,completed,generated_released,True,8172.451,8166.167,0.0,0.015,1638.364,1638400.0
ULB,FOLLOWUP_ULB_135,D_hybrid,60eb22ab-dfa3-4726-9ef2-4074ebae2efd,blocked,generated_blocked,True,15461.322,15437.735,17.633,0.058,1885.772,-2310144.0
ULB,FOLLOWUP_ULB_140,B_lexical,610a8ec4-72a9-4970-8395-6a69ade2497f,completed,generated_released,True,16160.753,16144.433,11.028,0.017,2078.915,770048.0
ULB,FOLLOWUP_ULB_140,C_lexical,61afdbaf-6fea-489f-a453-387beeff663a,blocked,generated_blocked,True,14328.389,14312.54,10.792,0.046,1866.263,802816.0
ULB,FOLLOWUP_ULB_139,B_dense,633d5bdd-be98-40e6-937f-6410a9625258,completed,generated_released,True,11170.719,11160.552,5.432,0.018,1680.321,1622016.0
ULB,FOLLOWUP_ULB_133,A_direct,6905c59a-e296-4202-9143-3677775f1e1c,completed,generated_released,True,12525.024,12519.844,0.0,0.017,2307.616,-81920.0
ULB,FOLLOWUP_ULB_135,C_dense,691ed4ea-2b27-4e09-aa7b-248d12468fd4,blocked,generated_blocked,True,13018.927,13008.757,5.159,0.034,1558.556,622592.0
ULB,FOLLOWUP_ULB_134,C_dense,6f0683c5-1b35-4065-ad09-abe40c5d74e9,blocked,generated_blocked,True,11108.875,11098.19,5.47,0.041,1650.989,0.0
ULB,FOLLOWUP_ULB_140,A_direct,74c843c5-3f06-4e15-b9d2-2fbed235cc27,completed,generated_released,True,9564.418,9559.167,0.0,0.015,1736.475,753664.0
ULB,FOLLOWUP_ULB_133,C_lexical,796478e0-f6bb-42e8-84fa-9c939c3f8f86,blocked,generated_blocked,True,18520.691,18504.444,11.007,0.03,2373.364,16384.0
ULB,FOLLOWUP_ULB_139,B_lexical,82db7045-2520-4820-a27b-2230b2206fc2,completed,generated_released,True,10433.364,10417.747,10.183,0.025,1536.133,4308992.0
ULB,FOLLOWUP_ULB_138,C_dense,86423406-fe75-429e-a205-70a6cdc1efde,blocked,generated_blocked,True,13602.508,13592.253,5.575,0.031,1619.565,802816.0
ULB,FOLLOWUP_ULB_138,D_hybrid,8811e7d1-2919-4757-8fe8-5155599c0e69,blocked,generated_blocked,True,14358.333,14338.087,15.566,0.034,1699.572,655360.0
ULB,FOLLOWUP_ULB_131,C_lexical,90bdc3b7-5f76-4025-bfe7-39c149fddbb2,blocked,generated_blocked,True,12706.74,12691.704,10.336,0.029,1504.933,704512.0
ULB,FOLLOWUP_ULB_140,D_hybrid,95fd3359-fd01-4474-86aa-badca7db69d6,blocked,generated_blocked,True,15163.386,15140.162,16.841,0.048,1882.756,-2260992.0
ULB,FOLLOWUP_ULB_131,D_hybrid,a07675dc-afe1-4b8c-82b2-cb1bf05d5cca,blocked,generated_blocked,True,14295.859,14275.487,15.274,0.021,1675.939,753664.0
ULB,FOLLOWUP_ULB_138,B_dense,a213661f-431a-4378-9baf-e689f02f15b6,completed,generated_released,True,15865.071,15854.991,5.282,0.024,1939.617,737280.0
ULB,FOLLOWUP_ULB_136,A_direct,a88825fd-2f26-4b94-aee9-c85df89fe1a5,completed,generated_released,True,9391.124,9386.26,0.0,0.014,1890.052,819200.0
ULB,FOLLOWUP_ULB_139,C_dense,a8aa7737-c13c-4da3-9c75-9de37f3bffe0,blocked,generated_blocked,True,36389.18,36085.027,288.734,6.504,7715.472,-695009280.0
ULB,FOLLOWUP_ULB_133,B_lexical,a8b501cc-ef21-4a44-9699-6f32f94eee1e,completed,generated_released,True,16996.407,16978.563,11.789,0.016,2175.489,49152.0
ULB,FOLLOWUP_ULB_140,C_dense,adf2bd79-ab75-4ad5-b985-df841ce33c8f,blocked,generated_blocked,True,15776.243,15765.889,5.245,0.03,2041.302,802816.0
ULB,FOLLOWUP_ULB_135,A_direct,af232a97-b5a0-4d06-8666-cafbcbebd8da,completed,generated_released,True,10446.04,10440.516,0.0,0.015,1903.674,3604480.0
ULB,FOLLOWUP_ULB_134,B_dense,b88642ba-8924-44b1-8d58-23d209cc7844,completed,generated_released,True,10590.156,10579.591,5.552,0.019,1590.096,0.0
ULB,FOLLOWUP_ULB_134,A_direct,bfb1ba1a-1b43-4bfb-81b1-5730fc0eaf3b,completed,generated_released,True,9521.147,9516.614,0.0,0.018,1913.176,409600.0
ULB,FOLLOWUP_ULB_136,D_hybrid,c5e6e7e1-f241-4cb4-af0c-56c1a69aa834,blocked,generated_blocked,True,12686.575,12667.296,14.515,0.025,1869.344,3817472.0
ULB,FOLLOWUP_ULB_134,D_hybrid,c8f41ed0-557f-47d2-8dd4-806f377a1f89,blocked,generated_blocked,True,10968.059,10947.372,15.624,0.035,1607.414,32768.0
ULB,FOLLOWUP_ULB_138,B_lexical,d1a76289-fdd6-4ccb-9840-c0fb2de8b1ae,completed,generated_released,True,12542.563,12527.168,9.692,0.019,1492.932,-2392064.0
ULB,FOLLOWUP_ULB_137,B_lexical,d2acf105-a0cb-4c37-9c68-c477361d9422,completed,generated_released,True,14283.993,14268.538,10.629,0.016,1950.108,3637248.0
ULB,FOLLOWUP_ULB_135,B_lexical,d43b96ac-2955-483c-ae31-c7a551e140bc,completed,generated_released,True,17575.816,17558.613,11.451,0.022,2248.329,753664.0
ULB,FOLLOWUP_ULB_132,A_direct,db0974e0-6972-4fdd-b160-ed6eea99e406,completed,generated_released,True,8603.647,8598.577,0.0,0.016,1827.025,720896.0
ULB,FOLLOWUP_ULB_137,B_dense,dbcef99d-11c5-417e-8019-39bc2a7a7868,completed,generated_released,True,13664.653,13655.681,4.142,0.026,2053.642,-2015232.0
ULB,FOLLOWUP_ULB_138,C_lexical,dc77ed12-180c-43a2-b733-f1fdd3e7dc09,completed,generated_released,True,16003.487,15988.753,10.004,0.059,1953.212,3719168.0
ULB,FOLLOWUP_ULB_132,C_lexical,df106512-c062-4d4e-83a4-c4ab85aeeba8,blocked,generated_blocked,True,12880.289,12863.934,10.516,0.052,2044.087,3981312.0
ULB,FOLLOWUP_ULB_135,B_dense,e6606939-7cb0-4223-b92b-0f26b45e2575,completed,generated_released,True,17166.043,17155.51,5.342,0.026,2123.106,851968.0
ULB,FOLLOWUP_ULB_131,B_lexical,f115fba7-740c-4d08-a3dc-215c37e54ad3,completed,generated_released,True,15616.46,15602.13,9.676,0.019,1895.662,819200.0
ULB,FOLLOWUP_ULB_132,B_lexical,f7b9f56a-24a8-47c2-8a11-abb3fa70352f,completed,generated_released,True,12572.695,12558.295,9.748,0.015,1895.004,737280.0
ULB,FOLLOWUP_ULB_133,D_hybrid,fa234ace-b477-4b01-b9cc-e042544f5278,blocked,generated_blocked,True,13102.515,13079.744,16.979,0.046,1575.827,65536.0
ULB,FOLLOWUP_ULB_146,C_lexical,00341329-20ba-4de0-a534-6fa2ccc25686,blocked,generated_blocked,True,16398.852,16382.914,10.049,0.04,1938.492,1196032.0
ULB,FOLLOWUP_ULB_145,B_lexical,03a3748b-bf63-4565-9aba-ff0ea4281b43,completed,generated_released,True,15444.987,15429.815,10.261,0.018,2042.094,16384.0
