dataset_id,condition_id,disposition,run_count,metric,n,mean,standard_deviation,minimum,p25,median,p75,p95,maximum
Sparkov,D_hybrid,generated_blocked,201,validation_latency_ms,201,0.033318,0.007026,0.02,0.027,0.035,0.038,0.043,0.05
Sparkov,D_hybrid,generated_blocked,201,cpu_time_ms,201,1590.392109,224.438408,347.455,1455.813,1602.32,1732.649,1886.085,2286.672
Sparkov,D_hybrid,generated_blocked,201,memory_rss_delta_bytes,201,931442.626866,3897241.441076,-7438336.0,147456.0,688128.0,884736.0,3473408.0,23838720.0
Sparkov,D_hybrid,pre_generation_suppressed,199,processing_latency_ms,199,25.679206,2.239662,22.915,23.925,24.923,26.989,29.815,35.13
Sparkov,D_hybrid,pre_generation_suppressed,199,generation_latency_ms,0,,,,,,,,
Sparkov,D_hybrid,pre_generation_suppressed,199,retrieval_latency_ms,199,16.626136,2.062759,14.297,14.956,15.839,17.914,20.809,24.237
Sparkov,D_hybrid,pre_generation_suppressed,199,validation_latency_ms,0,,,,,,,,
Sparkov,D_hybrid,pre_generation_suppressed,199,cpu_time_ms,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparkov,D_hybrid,pre_generation_suppressed,199,memory_rss_delta_bytes,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULB,A_direct,generated_released,150,processing_latency_ms,150,8969.396807,2955.047223,2843.755,8003.997,8465.7095,9354.381,12041.59415,30771.89
ULB,A_direct,generated_released,150,generation_latency_ms,150,8964.572247,2954.760201,2830.655,7999.66875,8461.2355,9350.029,12036.677,30762.835
ULB,A_direct,generated_released,150,retrieval_latency_ms,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULB,A_direct,generated_released,150,validation_latency_ms,150,0.064273,0.294344,0.011,0.014,0.015,0.021,0.0311,2.413
ULB,A_direct,generated_released,150,cpu_time_ms,150,1804.62774,628.587864,492.917,1586.54075,1696.405,1873.3645,2352.8612,5971.077
ULB,A_direct,generated_released,150,memory_rss_delta_bytes,150,-12744785.92,60459402.45489,-349536256.0,-237568.0,737280.0,1257472.0,3819110.4,18022400.0
ULB,B_dense,generated_released,150,processing_latency_ms,150,12278.158067,3916.773997,6632.007,10571.1495,11813.9285,12679.98275,16064.9499,44488.431
ULB,B_dense,generated_released,150,generation_latency_ms,150,12242.508193,3873.032446,6621.709,10520.44575,11802.961,12670.131,16052.81185,44176.65
ULB,B_dense,generated_released,150,retrieval_latency_ms,150,30.360947,96.014244,4.135,4.935,5.282,6.415,294.57235,666.782
ULB,B_dense,generated_released,150,validation_latency_ms,150,0.077513,0.335802,0.011,0.014,0.018,0.02275,0.0332,2.46
ULB,B_dense,generated_released,150,cpu_time_ms,150,1894.32392,887.709471,755.534,1593.17325,1787.809,1927.63825,2231.3417,9128.67
ULB,B_dense,generated_released,150,memory_rss_delta_bytes,150,-22120475.306667,123207630.537071,-697679872.0,16384.0,778240.0,1306624.0,3957555.2,4603904.0
ULB,B_lexical,generated_released,150,processing_latency_ms,150,11626.617493,1973.145436,3274.05,10353.96975,11670.0825,12708.26075,15539.29715,17575.816
ULB,B_lexical,generated_released,150,generation_latency_ms,150,11609.618373,1972.383604,3259.688,10339.489,11654.43,12693.66325,15524.58825,17558.613
ULB,B_lexical,generated_released,150,retrieval_latency_ms,150,10.941647,5.402034,9.546,9.70075,9.9545,10.13975,12.28455,51.371
ULB,B_lexical,generated_released,150,validation_latency_ms,150,0.065853,0.333193,0.012,0.014,0.017,0.02275,0.02855,2.471
ULB,B_lexical,generated_released,150,cpu_time_ms,150,1727.128787,280.634205,357.92,1547.40825,1745.2695,1920.955,2127.5387,2576.924
ULB,B_lexical,generated_released,150,memory_rss_delta_bytes,150,895658.666667,3180665.358451,-18530304.0,20480.0,827392.0,1732608.0,6472499.2,10371072.0
ULB,C_dense,generated_blocked,65,processing_latency_ms,65,12225.549585,5119.024286,3691.706,10563.355,11108.875,12690.036,15580.8876,40584.333
ULB,C_dense,generated_blocked,65,generation_latency_ms,65,12202.140877,5072.686782,3682.342,10553.64,11098.19,12679.913,15570.3236,40276.137
ULB,C_dense,generated_blocked,65,retrieval_latency_ms,65,18.043446,55.774444,4.364,4.889,5.159,5.674,42.146,296.346
ULB,C_dense,generated_blocked,65,validation_latency_ms,65,0.190892,0.91492,0.022,0.028,0.036,0.04,0.051,6.504
ULB,C_dense,generated_blocked,65,cpu_time_ms,65,1804.049754,1101.114278,419.401,1550.295,1609.918,1763.847,2032.662,7814.349
ULB,C_dense,generated_blocked,65,memory_rss_delta_bytes,65,-20460591.261538,121172687.386761,-695468032.0,671744.0,753664.0,950272.0,4023910.4,4866048.0
ULB,C_dense,generated_released,3,processing_latency_ms,3,13549.130667,2133.775257,12164.034,12320.512,12476.99,14241.679,15653.4302,16006.368
ULB,C_dense,generated_released,3,generation_latency_ms,3,13530.691333,2122.423114,12152.046,12308.65,12465.254,14220.014,15623.822,15974.774
ULB,C_dense,generated_released,3,retrieval_latency_ms,3,12.914333,11.743696,5.08,6.163,7.246,16.8315,24.4999,26.417
ULB,C_dense,generated_released,3,validation_latency_ms,3,0.065667,0.006658,0.06,0.062,0.064,0.0685,0.0721,0.073
ULB,C_dense,generated_released,3,cpu_time_ms,3,1836.411,61.829248,1787.184,1801.7135,1816.243,1861.0245,1896.8497,1905.806
ULB,C_dense,generated_released,3,memory_rss_delta_bytes,3,846506.666667,795313.405408,32768.0,458752.0,884736.0,1253376.0,1548288.0,1622016.0
ULB,C_dense,pre_generation_suppressed,82,processing_latency_ms,82,22.258159,55.801767,8.632,9.44275,10.119,10.7675,33.86465,303.008
ULB,C_dense,pre_generation_suppressed,82,generation_latency_ms,0,,,,,,,,
ULB,C_dense,pre_generation_suppressed,82,retrieval_latency_ms,82,17.780598,55.733968,4.263,5.041,5.592,6.41175,29.1941,298.252
ULB,C_dense,pre_generation_suppressed,82,validation_latency_ms,0,,,,,,,,
ULB,C_dense,pre_generation_suppressed,82,cpu_time_ms,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULB,C_dense,pre_generation_suppressed,82,memory_rss_delta_bytes,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULB,C_lexical,generated_blocked,63,processing_latency_ms,63,11653.771444,1703.864957,7751.998,10579.19,11170.006,12741.537,13747.021,18520.691
ULB,C_lexical,generated_blocked,63,generation_latency_ms,63,11634.408111,1703.96263,7737.541,10564.8375,11154.776,12726.854,13732.6571,18504.444
ULB,C_lexical,generated_blocked,63,retrieval_latency_ms,63,11.544079,7.605632,9.447,9.6355,9.724,10.117,10.9897,54.884
ULB,C_lexical,generated_blocked,63,validation_latency_ms,63,0.112397,0.555725,0.02,0.0285,0.035,0.041,0.0538,4.44
ULB,C_lexical,generated_blocked,63,cpu_time_ms,63,1650.440905,211.098922,1096.614,1535.9335,1594.961,1749.568,1984.6625,2373.364
